protocol,tau,ratio,W,Qh,Qc,eta,W_ad,D_open,D_close,bound,leakage_open,leakage_close,sigma,norm_error,thermal_tail,identity_error
linear_J,1.200315505050112,5.2,-0.053628232810342735,-0.018733754460373453,-0.03489447834996928,,0.00013727224531010862,0.0189049231892065,0.03486058186644625,0.04268316321613764,0.02295920406787362,0.022853717693532633,3.849712343850264,1.7142509634027192e-11,8.330189082845176e-74,-9.71445146547012e-17
linear_J,1.200315505050112,5.6000000000000005,-0.05260218876478773,-0.01814725644144599,-0.034454932323341736,,0.0006080858906335955,0.0189049231892065,0.03430535146621472,0.042293713889454736,0.02295920406787362,0.022492061079268273,3.7695513830742806,1.7142509634027192e-11,1.3230604115910993e-68,-1.0408340855860843e-16
linear_J,1.200315505050112,6.0,-0.051693493347964914,-0.017627089260106032,-0.03406640408785888,,0.0010249641650421346,0.0189049231892065,0.03381353432380041,0.041948633610906026,0.02295920406787362,0.022171630287395435,3.700425229787655,1.7142509634027192e-11,4.2536486526578224e-64,-1.3877787807814457e-16
linear_J,1.200315505050112,6.4,-0.05088457060451557,-0.017162659659202717,-0.03372191094531285,,0.001395907579451248,0.0189049231892065,0.033375554994760304,0.041641125784477886,0.02295920406787362,0.02188613058543996,3.6403576517063274,1.7142509634027192e-11,3.7352788856454855e-60,-1.3877787807814457e-17
linear_J,1.200315505050112,6.800000000000001,-0.05016115821926104,-0.016745009038002245,-0.03341614918125879,,0.0017273658861075144,0.0189049231892065,0.032983600916161926,0.041365592866351594,0.02295920406787362,0.021630388589134797,3.587865051037677,1.7142509634027192e-11,1.1265746972002113e-56,-1.249000902703301e-16
linear_J,1.200315505050112,7.2,-0.04951170721592785,-0.016366436237666482,-0.033145270978261365,,0.0020245098875575716,0.0189049231892065,0.03263129391427899,0.041117401612782434,0.02295920406787362,0.02140013517666349,3.541838712238171,1.7142509634027192e-11,1.394606357929648e-53,7.632783294297951e-17
linear_J,1.200315505050112,7.6000000000000005,-0.0489268846569213,-0.016020196901369577,-0.03290668775555172,,0.0022914582089468122,0.0189049231892065,0.03231341967666168,0.04089269183233281,0.02295920406787362,0.021191828206039615,3.501460840046877,1.7142509634027192e-11,8.156087346927414e-51,6.938893903907228e-17
linear_J,1.200315505050112,8.0,-0.048399166490567525,-0.015700272826689066,-0.03269889366387846,,0.0025314649971111313,0.0189049231892065,0.032025708298472066,0.04068822387992572,0.02295920406787362,0.021002510598092754,3.466142776721459,1.7142509634027192e-11,2.5218201928829366e-48,-8.326672684688674e-17
linear_J,1.200315505050112,8.4,-0.04792250458338565,-0.015401200522107361,-0.03252130406127829,,0.0027470756294318494,0.0189049231892065,0.031764657023610865,0.040501258342953365,0.02295920406787362,0.020829697769979606,3.435478031391012,1.7142509634027192e-11,4.515457140695887e-46,-1.3183898417423734e-16
linear_J,1.200315505050112,8.8,-0.047492053481759444,-0.015117947522640063,-0.03237410595911938,,0.0029402566328306685,0.0189049231892065,0.031527386925383594,0.04032946156444088,0.02295920406787362,0.020671288635971667,3.409205454123757,1.7142509634027192e-11,5.04434015617918e-44,-1.3877787807814457e-17
linear_J,1.200315505050112,9.2,-0.04710394514138355,-0.01484582589992417,-0.03225811924145938,,0.003112504696812876,0.0189049231892065,0.03131152664898984,0.040170831514312,0.02295920406787362,0.020525495217546093,3.387179596971201,1.7142509634027192e-11,3.738972604115703e-42,-8.326672684688674e-17
linear_J,1.200315505050112,9.600000000000001,-0.04675510245355535,-0.014580433875733212,-0.03217466857782214,,0.003264938480751665,0.0189049231892065,0.031115117745100562,0.040023639516725495,0.02295920406787362,0.020390786828529822,3.3693463773211016,1.7142509634027192e-11,1.935616801652016e-40,4.163336342344337e-17
linear_J,1.200315505050112,10.0,-0.04644308449994261,-0.014317618056612136,-0.032125466443330475,,0.0033983760106148686,0.0189049231892065,0.03093653732135082,0.03988638426199968,0.02295920406787362,0.020265845639067956,3.3557228248991686,1.7142509634027192e-11,7.306589792677805e-39,-1.5265566588595902e-16
linear_J,1.200315505050112,10.4,-0.04616595805359086,-0.014053450329901407,-0.032112507723689454,,0.0035133998199881004,0.0189049231892065,0.030774434684372243,0.039757755310820916,0.02295920406787362,0.020149531121532997,3.3463801024641513,1.7142509634027192e-11,2.085778829832316e-37,-2.1510571102112408e-16
linear_J,1.200315505050112,10.8,-0.04592219100313305,-0.013784214800205918,-0.03213797620292713,,0.0036104115533966367,0.0189049231892065,0.030627679367323024,0.03963660392981298,0.02295920406787362,0.020040851441697885,3.3414292388131384,1.7142509634027192e-11,4.644768934322384e-36,-1.5959455978986625e-16
linear_J,1.200315505050112,11.2,-0.04571056421879338,-0.013506401269136603,-0.03220416294965678,,0.0036896774534607786,0.0189049231892065,0.030495318483047762,0.03952191959667936,0.02295920406787362,0.019938940297543,3.341009163440112,1.7142509634027192e-11,8.286280921066552e-35,1.0408340855860843e-16
linear_J,1.200315505050112,11.600000000000001,-0.04553009899711413,-0.013216702673955916,-0.03231339632315822,,0.003751365947052346,0.0189049231892065,0.03037654175495985,0.03941281090179743,0.02295920406787362,0.01984303804808399,3.345276724332683,1.7142509634027192e-11,1.2117631226636495e-33,-1.249000902703301e-16
linear_J,1.200315505050112,12.0,-0.045379997687290285,-0.012912014623637114,-0.03246798306365317,,0.00379557839403121,0.0189049231892065,0.030270652892114835,0.03930848987285662,0.02295920406787362,0.019752476236297698,3.3543984282289596,1.7142509634027192e-11,1.4817418450504934e-32,-1.5959455978986625e-16
linear_J,1.200315505050112,12.4,-0.04525959546497854,-0.012589435731513665,-0.032670159733464876,,0.0038223739425732317,0.0189049231892065,0.030177046218345494,0.039208258978759715,0.02295920406787362,0.019666664811080654,3.3685436808586946,1.7142509634027192e-11,1.5415016355369762e-31,2.220446049250313e-16
linear_J,1.200315505050112,12.8,-0.04516832151223038,-0.012246267870552718,-0.03292205364167766,,0.0038317893339585374,0.0189049231892065,0.030095187656982603,0.03911150024417683,0.02295920406787362,0.01958508150726352,3.3878793319064595,1.7142509634027192e-11,1.3851978844497059e-30,1.8735013540549517e-16
linear_J,1.200315505050112,13.2,-0.045105668105810626,-0.011880015796569277,-0.03322565230924135,,0.003823854409474892,0.0189049231892065,0.030024599326079038,0.039017666039392586,0.02295920406787362,0.01950726296103191,3.412565350595114,1.7142509634027192e-11,1.0895775317434279e-29,2.0816681711721685e-17
