alpha,width,tc,th,protocol,tau,W,Qh,Qc,eta,W_ad,D_open,D_close,bound,leakage_open,leakage_close,sigma,norm_error,thermal_tail,identity_error
2.4,0.6,0.006960694763702722,0.07344775962652123,linear_J,0,-0.083636771894669,-0.02697392098593354,-0.05666285090873546,,0.0024702127748373903,0.029896621985485705,0.05621036268402069,0.06546190622449796,0.035068442731996254,0.03247787286098294,8.507654765508846,8.881784197001252e-16,1.3677112505628142e-40,0.0
2.4,0.6,0.006960694763702722,0.07344775962652123,linear_J,5,-0.0032507269390662508,0.00040887396470401516,-0.003659600903770266,,0.0024702127748373903,0.0025138270348481484,0.0032071126790554905,0.00519231269258156,0.0028057151966567476,0.00257838465785795,0.5201853779629461,1.2825984718745076e-10,1.3677112505628142e-40,-2.168404344971009e-18
2.4,0.6,0.006960694763702722,0.07344775962652123,linear_J,10,-0.0006205583665547243,0.0015948492060209318,-0.002215407572575656,,0.0024702127748373903,0.0013278517935312317,0.0017629193478608807,0.0029911049184085273,0.0016228680263142825,0.0014859436140719812,0.296559852861741,7.579337157892496e-10,1.3677112505628142e-40,-2.168404344971009e-18
2.4,0.6,0.006960694763702722,0.07344775962652123,linear_J,20,0.0022935384333705455,0.0028462190190652326,-0.000552680585694687,0.8058193758131091,0.0024702127748373903,7.6481980486931e-05,0.00010019236097991158,0.000149035411295743,6.798528216803726e-05,7.281163638453512e-05,0.04064859308668305,4.9926802692112915e-09,1.3677112505628142e-40,-2.168404344971009e-18
2.4,0.6,0.006960694763702722,0.07344775962652123,linear_J,40,0.0024061654661475806,0.0028946788325825423,-0.0004885133664349617,0.8312374551068502,0.0024702127748373903,2.802216696962123e-05,3.602514172018623e-05,5.3587355196670904e-05,2.7357760203189728e-05,2.6457885873017647e-05,0.030770299109497024,3.123719394260149e-08,1.3677112505628142e-40,-2.168404344971009e-18
2.4,0.6,0.006960694763702722,0.07344775962652123,linear_J,80,0.0024353120763128677,0.002907629779349774,-0.00047231770303690634,0.8375592015216843,0.0024702127748373903,1.507122020238949e-05,1.982947832213089e-05,3.214608102251204e-05,1.698047330431362e-05,1.5925844919150118e-05,0.028267239553799776,1.3592671732620687e-07,1.3677112505628142e-40,-2.168404344971009e-18
2.4,0.6,0.006960694763702722,0.07344775962652123,smooth_b,0,-0.083636771894669,-0.02697392098593354,-0.05666285090873546,,0.0024702127748373903,0.029896621985485705,0.05621036268402069,0.06546190622449796,0.035068442731996254,0.03247787286098294,8.507654765508846,8.881784197001252e-16,1.3677112505628142e-40,0.0
2.4,0.6,0.006960694763702722,0.07344775962652123,smooth_b,5,-0.022614993123514004,-0.0074661359417292905,-0.015148857181784714,,0.0024702127748373903,0.010388836941281454,0.014696368957069939,0.024168030061541484,0.0131043777371545,0.012005580575476824,2.2779950228012393,5.270217373620767e-09,1.3677112505628142e-40,0.0
2.4,0.6,0.006960694763702722,0.07344775962652123,smooth_b,10,-0.00077515190340538,0.0015304134354895416,-0.0023055653388949215,,0.0024702127748373903,0.001392287564062622,0.001853077114180146,0.0032409730540503773,0.0017873517048225091,0.0016128309509878989,0.31038956267343887,2.0151475044194456e-08,1.3677112505628142e-40,-2.168404344971009e-18
2.4,0.6,0.006960694763702722,0.07344775962652123,smooth_b,20,0.0023060770167698807,0.0028523537729663317,-0.000546276756196451,0.808482116989175,0.0024702127748373903,7.034722658583181e-05,9.378853148167554e-05,0.00016407674735289618,9.062785817001394e-05,8.166432074990732e-05,0.03964506907254169,5.550002124543596e-08,1.3677112505628142e-40,-2.168404344971009e-18
2.4,0.6,0.006960694763702722,0.07344775962652123,smooth_b,40,0.0024691643795884954,0.002922251771134754,-0.00045308739154625854,0.8449526505478623,0.0024702127748373903,4.492284174095751e-07,5.991668314830889e-07,1.0480212632445692e-06,5.780108152525421e-07,5.215390437531955e-07,0.025305459383540715,1.2756666245561377e-07,1.3677112505628142e-40,-2.168404344971009e-18
2.4,0.6,0.006960694763702722,0.07344775962652123,smooth_b,80,0.0024701962901602093,0.0029226939363000692,-0.00045249764613986,0.8451778886185082,0.0024702127748373903,7.063252094319239e-09,9.421425084532586e-09,1.6478744650548587e-08,9.084665645594615e-09,8.20014882941697e-09,0.025214714174178712,2.6651374396280403e-07,1.3677112505628142e-40,-2.168404344971009e-18
